ID,AVERAGE of Height,AVERAGE of Weight
9192,190,94
9196,176,65
9197,183,79
9198,173,64
9200,180,83
9207,157,51
9208,182,71
9210,167,63
9211,168,64
9217,173,59
9224,173,65
9226,165,54
9227,163,50
9231,172,73
9234,170,63
9236,175,61
9238,178,70
9239,173,63
9241,162,59
9244,169,54
9245,160,52
9250,174,62
9251,170,60
9259,169,52
9260,183,76
9263,159,50
9265,162,55
9273,171,52
9274,163,59
9278,161,54
9279,170,70
9291,172,61
9294,151,51
9307,182,70
9308,185,70
9312,160,61
9313,172,70
9323,162,55
9326,161,51
9334,175,62
9336,163,50
9341,183,78
9342,165,51
9346,164,50
9348,176,66
9353,170,63
9362,182,77
9365,163,58
9378,169,70
9380,180,81
9381,163,51
9383,165,58
9389,181,67
9394,180,64
9399,177,67
9406,174,62
9413,163,58
9421,181,75
9422,177,64
9425,170,59
9429,179,81
9432,183,73
9433,164,66
9434,172,71
9437,170,53
9439,160,52
9442,171,58
9446,174,62
9450,180,71
9460,168,68
9464,191,72
9466,160,56
9472,167,55
9473,173,57
9477,176,60
9479,172,62
9484,175,62
9485,165,48
9488,180,58
9492,166,55
9497,174,62
9506,160,54
9509,173,64
9531,170,65
9537,157,48
9541,165,43
9546,163,63
9548,157,47
9549,173,64
9561,167,52
9562,169,67
9564,180,70
9566,169,65
9568,151,41
9569,160,57
9573,175,72
9574,172,68
9575,178,57
9581,156,44
9582,169,56
9583,165,52
9586,177,57
9597,168,70
9599,188,74
9601,177,55
9602,173,58
9603,175,64
9607,150,48
9610,166,60
9612,176,70
9617,164,53
9621,173,58
9622,170,62
9633,165,62
9635,156,59
9639,169,58
9643,150,43
9645,167,57
9646,144,40
9651,174,60
9654,180,73
9657,178,59
9660,167,57
9661,165,60
9663,158,60
9669,170,66
9677,178,59
9681,162,57
9683,158,38
9686,169,59
9692,163,59
9710,165,54
9713,170,58
9727,155,57
9732,160,55
9739,180,73
9743,152,50
9744,166,47
9747,158,45
9749,158,52
9750,170,59
9763,164,46
9768,173,58
9770,171,60
9771,180,73
9772,168,54
9778,160,46
9787,175,52
9788,175,62
9789,172,58
9790,169,60
9791,162,58
9795,180,68
9796,165,56
9797,172,59
9803,182,104
9804,162,61
9811,175,53
9816,172,60
9823,173,60
9824,160,57
9825,175,60
9826,177,56
9827,182,71
9834,157,68
9835,168,64
9836,173,64
9847,170,67
9850,162,63
9853,159,55
9856,168,49
9868,175,61
9874,175,77
9886,172,68
9888,175,65
9891,173,60
9893,164,56
9937,160,55
9940,157,52
9963,162,54
9977,164,52
9986,178,68
10005,170,59
10006,163,54
10007,190,76
10014,175,64
10021,172,60
10040,164,58
10041,170,60
10042,170,56
10048,155,48
10052,172,63
10053,170,62
10055,177,51
10059,163,52
10062,170,61
10064,161,57
10076,169,65
10079,163,52
10088,187,83
10089,167,51
10090,177,84
10096,180,67
10098,166,47
10102,160,43
10103,163,48
10111,174,67
10112,169,62
10115,168,67
10117,160,50
10120,165,57
10124,158,50
10133,173,61
10135,176,70
10136,185,74
10140,165,68
10152,165,60
10154,168,65
10155,165,60
10160,165,57
10172,168,63
10173,179,75
10175,175,59
10185,168,60
10189,161,52
10192,160,49
10193,154,47
10194,164,64
10198,157,46
10202,167,54
10203,163,53
10210,178,56
10213,175,55
10218,170,74
10231,164,73
10233,167,52
10243,180,70
10244,178,75
10245,167,55
10264,162,56
10266,168,55
10270,172,63
10271,163,55
10284,160,49
10285,179,74
10298,182,73
10306,164,58
10315,171,65
10324,174,73
10327,173,58
10331,168,60
10334,179,74
10341,186,75
10344,166,60
10350,168,57
10351,162,49
10358,178,66
10359,174,65
10360,167,61
10361,154,42
10367,165,44
